ann	chrom	start	stop	ISAba24_1	TnAs3_1	Tn5393_1	ISEc29_1
ABR06_04030	Plasmid2	2586	2733	0.0	1.0	0.0	0.0
ABR06_02769	Chromosome	2766471	2767581	0.0	2.0	0.0	0.0
ABR06_00822	Chromosome	854950	858949	0.0	1.0	0.0	0.0
ABR06_00017	Chromosome	17254	18487	0.0	1.0	0.0	0.0
ABR06_03165	Chromosome	3160429	3163114	0.0	1.0	0.0	0.0
ABR06_02411	Chromosome	2446425	2447277	0.0	2.0	0.0	0.0
ABR06_03139	Chromosome	3134759	3135632	0.0	1.0	0.0	0.0
ABR06_02133	Chromosome	2189217	2189850	0.0	2.0	0.0	0.0
ABR06_01394	Chromosome	1427491	1428283	0.0	3.0	0.0	0.0
ABR06_03732	Chromosome	3760220	3761435	0.0	1.0	0.0	0.0
ABR06_00528	Chromosome	527898	528336	0.0	1.0	0.0	0.0
ABR06_01772;ABR06_01773	Chromosome	1815383	1816949	0.0	1.0	0.0	0.0
ABR06_01691	Chromosome	1731754	1732405	0.0	1.0	0.0	0.0
ABR06_02395	Chromosome	2428404	2430207	0.0	1.0	0.0	0.0
ABR06_03844	Chromosome	3876729	3877782	0.0	2.0	0.0	0.0
ABR06_01396	Chromosome	1428794	1429627	0.0	6.0	0.0	0.0
ABR06_03733	Chromosome	3761504	3761711	0.0	1.0	0.0	0.0
ABR06_03781	Chromosome	3802732	3803489	0.0	2.0	0.0	0.0
ABR06_01730	Chromosome	1770007	1772437	0.0	1.0	0.0	0.0
ABR06_02521	Chromosome	2554683	2555919	0.0	1.0	0.0	0.0
ABR06_03233	Chromosome	3243948	3245869	0.0	1.0	0.0	0.0
us_ABR06_00902<>us_ABR06_00903	Chromosome	942158	942452	0.0	1.0	0.0	0.0
ABR06_02147	Chromosome	2203970	2204651	0.0	1.0	0.0	0.0
ABR06_00618	Chromosome	620440	621511	0.0	2.0	0.0	0.0
ds_ABR06_01907<>us_ABR06_01908	Chromosome	1961072	1962043	0.0	3.0	0.0	0.0
ABR06_03400	Chromosome	3419342	3420605	0.0	1.0	0.0	0.0
ABR06_03800	Chromosome	3831212	3832643	0.0	2.0	0.0	0.0
ABR06_01082	Chromosome	1115232	1117422	0.0	1.0	0.0	0.0
ABR06_00370	Chromosome	383758	384190	0.0	4.0	0.0	0.0
ABR06_03420	Chromosome	3443801	3446135	0.0	1.0	0.0	0.0
us_ABR06_03554<>us_ABR06_03555	Chromosome	3587111	3587402	0.0	2.0	0.0	0.0
ABR06_03351	Chromosome	3370772	3371576	0.0	1.0	0.0	0.0
ABR06_00705	Chromosome	706185	706311	0.0	1.0	0.0	0.0
ABR06_01785	Chromosome	1829488	1830382	0.0	1.0	0.0	0.0
ABR06_02563	Chromosome	2595992	2596310	0.0	1.0	0.0	0.0
ABR06_00847	Chromosome	884269	886984	0.0	1.0	0.0	0.0
ABR06_01091	Chromosome	1127202	1127505	0.0	1.0	0.0	0.0
ABR06_00207	Chromosome	222523	223966	0.0	1.0	0.0	0.0
ABR06_01212	Chromosome	1260233	1260884	0.0	1.0	0.0	0.0
ABR06_00216	Chromosome	233043	233871	0.0	0.0	1.0	0.0
ABR06_03072	Chromosome	3070727	3071708	0.0	0.0	1.0	0.0
ds_ABR06_03668<>us_ABR06_03669	Chromosome	3701385	3701725	0.0	0.0	17.0	0.0
ABR06_03946	Plasmid1	9924	10131	0.0	0.0	2.0	0.0
ABR06_03645	Chromosome	3675876	3676692	0.0	0.0	1.0	0.0
ABR06_01663	Chromosome	1705905	1707207	0.0	0.0	1.0	0.0
ABR06_03669	Chromosome	3701725	3702570	0.0	0.0	2.0	0.0
ABR06_00916	Chromosome	955527	955980	0.0	0.0	1.0	0.0
ds_ABR06_01039<>us_ABR06_01040	Chromosome	1065151	1065273	0.0	0.0	1.0	0.0
ABR06_03598	Chromosome	3629023	3633217	0.0	0.0	1.0	0.0
ABR06_00215	Chromosome	231701	233039	0.0	0.0	1.0	0.0
ds_ABR06_00784<>us_ABR06_00785	Chromosome	808071	808381	0.0	0.0	1.0	0.0
ABR06_00341	Chromosome	353473	354358	0.0	0.0	1.0	0.0
ABR06_02654	Chromosome	2684932	2685096	0.0	0.0	2.0	0.0
ABR06_02633	Chromosome	2672091	2675034	0.0	0.0	1.0	0.0
ABR06_01296	Chromosome	1342527	1342761	0.0	0.0	1.0	0.0
ABR06_03920	Chromosome	3952077	3952776	0.0	0.0	1.0	0.0
us_ABR06_00018<>us_ABR06_00019	Chromosome	18839	18970	0.0	0.0	1.0	0.0
ABR06_02292	Chromosome	2325553	2326495	0.0	0.0	1.0	0.0
ABR06_03668	Chromosome	3699597	3701385	0.0	0.0	2.0	0.0
ABR06_00089	Chromosome	90528	92355	0.0	0.0	1.0	0.0
ABR06_02980	Chromosome	2988160	2989635	0.0	0.0	2.0	0.0
ABR06_00687	Chromosome	688160	688625	0.0	0.0	1.0	0.0
ABR06_01618	Chromosome	1661883	1663227	0.0	0.0	1.0	0.0
ABR06_02616	Chromosome	2656149	2657378	0.0	0.0	1.0	0.0
ABR06_02919	Chromosome	2925194	2926033	0.0	0.0	1.0	0.0
ABR06_02698	Chromosome	2712054	2712642	0.0	0.0	2.0	0.0
ABR06_01129	Chromosome	1168255	1170352	0.0	0.0	1.0	0.0
us_ABR06_01648<>us_ABR06_01649	Chromosome	1690378	1690732	0.0	0.0	1.0	0.0
ABR06_00579	Chromosome	580355	581069	0.0	0.0	1.0	0.0
ABR06_00465	Chromosome	466517	467432	0.0	0.0	1.0	0.0
ABR06_00186	Chromosome	195512	196280	0.0	0.0	1.0	0.0
ABR06_00036	Chromosome	36339	37635	0.0	0.0	1.0	0.0
us_ABR06_03614<>ds_ABR06_03615	Chromosome	3645507	3645572	0.0	0.0	1.0	0.0
ABR06_03419	Chromosome	3441412	3443593	0.0	0.0	1.0	0.0
ABR06_03801	Chromosome	3833013	3834453	0.0	0.0	2.0	0.0
ABR06_00116	Chromosome	118835	119990	0.0	0.0	1.0	0.0
ABR06_01283	Chromosome	1330598	1331609	0.0	0.0	1.0	0.0
ABR06_00883	Chromosome	923371	923823	0.0	0.0	1.0	0.0
us_ABR06_00759<>us_ABR06_00760	Chromosome	760659	761622	0.0	0.0	1.0	0.0
us_ABR06_03235<>ds_ABR06_03236	Chromosome	3247228	3247584	0.0	0.0	1.0	0.0
ABR06_03671	Chromosome	3703526	3703751	0.0	0.0	3.0	0.0
ABR06_03434	Chromosome	3455910	3457359	0.0	0.0	2.0	0.0
ABR06_01899	Chromosome	1949887	1951285	0.0	0.0	1.0	0.0
ABR06_00015	Chromosome	15092	15938	0.0	0.0	1.0	0.0
ABR06_00586	Chromosome	587493	588369	0.0	0.0	1.0	0.0
ABR06_03672	Chromosome	3703961	3705455	0.0	0.0	2.0	0.0
ABR06_01872	Chromosome	1920237	1921698	0.0	0.0	1.0	0.0
ABR06_01983	Chromosome	2038337	2039342	0.0	0.0	1.0	0.0
ABR06_02315	Chromosome	2347360	2348827	0.0	0.0	1.0	0.0
ABR06_00673	Chromosome	672431	673907	0.0	0.0	1.0	0.0
ABR06_03276	Chromosome	3285797	3288594	0.0	0.0	1.0	0.0
ABR06_03670	Chromosome	3702571	3703407	0.0	0.0	3.0	0.0
ABR06_02287	Chromosome	2316951	2318259	0.0	0.0	1.0	0.0
ds_ABR06_03589<>ds_ABR06_03590	Chromosome	3621318	3621401	0.0	0.0	2.0	0.0
ABR06_03971	Plasmid1	25247	26006	0.0	0.0	1.0	0.0
ABR06_01936	Chromosome	1990824	1991595	0.0	0.0	1.0	0.0
us_ABR06_02902<>ds_ABR06_02903	Chromosome	2912689	2913201	0.0	0.0	1.0	0.0
ABR06_00407	Chromosome	422550	423870	0.0	0.0	1.0	0.0
ABR06_01520	Chromosome	1564111	1564798	0.0	0.0	2.0	0.0
ABR06_01476	Chromosome	1513409	1514045	0.0	0.0	1.0	0.0
ABR06_00210	Chromosome	226979	228424	0.0	0.0	1.0	0.0
ABR06_00467	Chromosome	468987	469581	0.0	0.0	1.0	0.0
ABR06_00896	Chromosome	937457	938027	0.0	0.0	1.0	0.0
ABR06_00830	Chromosome	865636	866790	0.0	0.0	1.0	0.0
ABR06_02289	Chromosome	2320224	2323788	0.0	0.0	1.0	1.0
ABR06_01950	Chromosome	2004542	2005886	0.0	0.0	1.0	0.0
ABR06_04013	Plasmid1	52975	54015	0.0	0.0	2.0	0.0
ABR06_02809	Chromosome	2805657	2806335	0.0	0.0	1.0	0.0
ds_ABR06_01399<>ds_ABR06_01400	Chromosome	1433745	1434226	0.0	0.0	0.0	2.0
ABR06_00574	Chromosome	574533	576090	0.0	0.0	0.0	1.0
ABR06_00831	Chromosome	867183	869592	0.0	0.0	0.0	2.0
ABR06_01462	Chromosome	1496134	1497271	0.0	0.0	0.0	1.0
ABR06_01301	Chromosome	1346317	1346680	0.0	0.0	0.0	1.0
ABR06_03228	Chromosome	3239850	3241071	0.0	0.0	0.0	1.0
ABR06_01549	Chromosome	1587489	1590246	0.0	0.0	0.0	1.0
ABR06_01401	Chromosome	1434469	1435645	0.0	0.0	0.0	10.0
ds_ABR06_03950<>us_ABR06_03951	Plasmid1	11959	12151	0.0	0.0	0.0	1.0
ABR06_03566	Chromosome	3598299	3599301	0.0	0.0	0.0	1.0
ABR06_03519	Chromosome	3543179	3544055	0.0	0.0	0.0	1.0
ABR06_01135	Chromosome	1173579	1174548	0.0	0.0	0.0	2.0
ABR06_03789	Chromosome	3818898	3819615	0.0	0.0	0.0	1.0
ABR06_02742	Chromosome	2742435	2742708	0.0	0.0	0.0	1.0
ds_ABR06_03581<>ds_ABR06_03582	Chromosome	3614456	3614500	0.0	0.0	0.0	1.0
ABR06_03637	Chromosome	3668031	3668568	0.0	0.0	0.0	1.0
ABR06_00299	Chromosome	307455	310011	0.0	0.0	0.0	2.0
ds_ABR06_01401<>us_ABR06_01402	Chromosome	1435645	1436043	0.0	0.0	0.0	9.0
ABR06_00328	Chromosome	340751	344617	0.0	0.0	0.0	3.0
ABR06_00736	Chromosome	738210	740271	0.0	0.0	0.0	3.0
ABR06_00748	Chromosome	748673	750074	0.0	0.0	0.0	1.0
ABR06_03289	Chromosome	3303550	3304552	0.0	0.0	0.0	1.0
ABR06_00380	Chromosome	392486	393284	0.0	0.0	0.0	1.0
ABR06_00515	Chromosome	514890	515370	0.0	0.0	0.0	1.0
ABR06_01426	Chromosome	1457866	1459747	0.0	0.0	0.0	1.0
ABR06_02427	Chromosome	2464227	2465681	0.0	0.0	0.0	1.0
ABR06_02589	Chromosome	2625729	2627760	0.0	0.0	0.0	2.0
ABR06_01625	Chromosome	1668820	1671346	0.0	0.0	0.0	1.0
ABR06_00097	Chromosome	99113	99584	0.0	0.0	0.0	1.0
ABR06_01538	Chromosome	1578250	1580407	0.0	0.0	0.0	1.0
ABR06_02541	Chromosome	2574799	2577436	0.0	0.0	0.0	1.0
